STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN,TOBS,indicator
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/22/2018,0,59,76,49,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/23/2018,0,60,74,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/24/2018,0,58,66,53,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/25/2018,0,57,65,51,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/26/2018,0,56,63,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/27/2018,0,58,67,54,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/28/2018,0,59,66,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/29/2018,0,58,64,54,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",4/30/2018,0,57,63,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/1/2018,0,56,67,50,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/2/2018,0,57,67,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/3/2018,0,57,66,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/4/2018,0,57,69,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/5/2018,0,56,61,53,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/6/2018,0,57,65,53,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/7/2018,0,60,71,54,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/8/2018,0,60,70,54,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/9/2018,0,60,67,56,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/10/2018,0,59,66,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/11/2018,0,59,75,51,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/12/2018,0,69,76,57,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/13/2018,0,61,67,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/14/2018,0,59,65,54,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/15/2018,0,60,67,56,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/16/2018,0,60,68,54,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/17/2018,0,59,65,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/18/2018,0,58,64,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/19/2018,0,57,63,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/20/2018,0,57,62,54,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/21/2018,0,58,67,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/22/2018,0,57,61,54,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/23/2018,0,57,63,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/24/2018,0,58,64,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/25/2018,0.01,59,65,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/26/2018,0,59,66,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/27/2018,0,60,74,53,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/28/2018,0,65,84,56,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/29/2018,0,64,71,56,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/30/2018,0,58,62,54,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",5/31/2018,0,58,64,53,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/1/2018,0,59,75,51,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/2/2018,0,65,85,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/3/2018,0,64,75,56,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/4/2018,0,61,67,56,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/5/2018,0,59,65,54,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/6/2018,0,58,65,54,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/7/2018,0,60,66,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/8/2018,0,61,70,52,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/9/2018,0,61,67,55,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/10/2018,0,60,68,53,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/11/2018,0,61,71,56,,
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",6/12/2018,0,64,76,57,,
